楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
ロストワンの号哭,GRAVITY,16,EXCESSIVE COMPLETE,AAA+,9825978,5,5,0,0
I'm so Happy,ADVANCED,9,ULTIMATE CHAIN,AAA+,9884225,2,2,1,0
I'm so Happy,EXHAUST,16,EXCESSIVE COMPLETE,AAA,9788676,47,44,0,0
VALLIS-NERIA,EXHAUST,17,COMPLETE,AA+,9661639,23,8,0,0
En FIRE-G SOUL,EXHAUST,13,EXCESSIVE COMPLETE,S,9910474,4,4,0,0
音楽 -壊音楽 mix-,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9806286,29,22,0,0
こちら、幸福安心委員会です。,EXHAUST,15,ULTIMATE CHAIN,S,9992737,13,12,3,0
サンドリヨン,EXHAUST,13,EXCESSIVE COMPLETE,S,9969982,1,1,0,0
Party Stream !!,EXHAUST,14,ULTIMATE CHAIN,AAA+,9872994,9,9,1,0
ませまてぃっく♥ま+ま=まじっく！,EXHAUST,15,EXCESSIVE COMPLETE,S,9905395,14,14,0,0
WobbleTangleFestival,EXHAUST,13,ULTIMATE CHAIN,S,9911971,7,7,1,0
Antinomie (SDVX EDIT),ADVANCED,10,COMPLETE,S,9946280,5,5,0,0
Antinomie (SDVX EDIT),EXHAUST,13,ULTIMATE CHAIN,S,9982686,30,26,1,0
Qubism,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9849849,61,49,0,0
Keep Going!,ADVANCED,9,COMPLETE,AAA+,9818313,3,3,0,0
Keep Going!,EXHAUST,13,ULTIMATE CHAIN,S,9962468,24,22,3,0
天狗の落とし文 feat. ｙｔｒ,ADVANCED,9,ULTIMATE CHAIN,S,9968888,2,2,1,0
天狗の落とし文 feat. ｙｔｒ,EXHAUST,13,ULTIMATE CHAIN,S,9983776,22,20,1,0
Two Fates,ADVANCED,6,COMPLETE,AA+,9643243,1,1,0,0
Two Fates,EXHAUST,11,ULTIMATE CHAIN,S,9989270,10,10,2,0
